C0410606	C0011334	C0014175	C0002736	C0036421	C0156257	C0030319	C0001175	C0019204	C1334633	C0027819	C0022661	C0031099	C0002171	C0023343	C0023458	C0041671	C0152018	C0017668	C0007103	C0020676	C0011573	C0017601	C0014544	C0025202	C0004153	C0019163	C0002871	C0026769	C0004096	C0017661	C0024117	C0011615	C0005586	C0525045	C0010054	C0678222	C0684249	C0549473	C0677886	C0699885	C0007134	C0002103	C0235974	C0027022	C0030305	C0029401	C0029838	C0699791	C0027051	C0042331	C0007820	C0038013	C0003873	C0162871	C0157946	C0023473	C0019829	C0009324	C0156146	C0033860	C0027404	C0003872	C0024141	C0004763	C0008924	C0011860	C0026764	C0011854	C0034951	C0023449	C0028754	C0600139	C0007570	C0002395	C0020538	C0242383	C0007766	C0017665	C0040517	C0029456	C0016781	C0032460	C0085207	C0154778	C0022336	C0029696	C0008312	C0042900	C0018213	C0024530	C0004352	C0007193	C0149654	C0003868	C0042133	C0004943	C0026691	C0206368	C0162872	C0524620	C0004509	C0008313	C0030567	C1800706	C0035258	C0031347	C0028043	
C0011573	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	
C0017601	-1.0000	0.1250	0.1250	0.1250	0.1429	-1.0000	0.1111	0.1429	-1.0000	-1.0000	0.0909	0.1000	0.1250	0.1250	0.1000	-1.0000	-1.0000	-1.0000	0.1000	-1.0000	0.1429	-1.0000	1.0000	0.1250	0.1250	0.1111	0.1429	0.1429	0.1250	0.1429	0.1429	0.1250	0.1250	0.1111	0.1250	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	0.1111	-1.0000	-1.0000	0.1250	0.1429	0.1429	-1.0000	-1.0000	0.1250	-1.0000	0.1429	0.1250	0.1429	0.1111	-1.0000	0.1111	0.1250	0.1111	-1.0000	0.1250	0.1000	0.1250	0.1429	0.1429	0.1250	0.1429	0.1250	0.1429	0.2500	-1.0000	0.1250	-1.0000	0.1250	0.1250	0.1429	0.1667	0.1250	0.1429	0.1250	0.1250	0.1667	0.1250	0.1429	0.1667	0.1250	-1.0000	-1.0000	0.1111	0.1667	0.1429	0.1000	0.1250	0.1000	0.1250	-1.0000	0.1429	0.1429	0.1667	0.1111	0.1429	0.1111	0.1111	0.1429	0.1250	0.1667	0.1429	-1.0000	
C0014544	-1.0000	0.1111	0.1111	0.2000	0.1250	-1.0000	0.1000	0.1250	-1.0000	-1.0000	0.0833	0.0909	0.1111	0.1111	0.0909	-1.0000	-1.0000	-1.0000	0.0909	-1.0000	0.1250	-1.0000	0.1250	1.0000	0.1111	0.1000	0.1250	0.1250	0.2000	0.1250	0.1250	0.1111	0.1111	0.1000	0.1111	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	0.1000	-1.0000	-1.0000	0.1111	0.1250	0.1250	-1.0000	-1.0000	0.1111	-1.0000	0.3333	0.1111	0.1250	0.1000	-1.0000	0.1000	0.1111	0.1000	-1.0000	0.1111	0.1111	0.1111	0.1250	0.1250	0.1111	0.1250	0.1111	0.1250	0.1429	-1.0000	0.1111	-1.0000	0.1111	0.2500	0.1250	0.1111	0.2000	0.1250	0.2500	0.1111	0.1111	0.1111	0.1250	0.1111	0.2500	-1.0000	-1.0000	0.1000	0.1250	0.1250	0.0909	0.1111	0.0909	0.1111	-1.0000	0.1250	0.1250	0.1111	0.1000	0.1250	0.1000	0.1000	0.2000	0.1111	0.2000	0.1250	-1.0000	
C0025202	-1.0000	0.1111	0.1111	0.1111	0.1250	-1.0000	0.1000	0.1250	-1.0000	-1.0000	0.1429	0.0909	0.1111	0.1111	0.0909	-1.0000	-1.0000	-1.0000	0.0909	-1.0000	0.1250	-1.0000	0.1250	0.1111	1.0000	0.1000	0.1250	0.1250	0.1111	0.1250	0.1250	0.1111	0.1111	0.1000	0.1111	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	0.1429	-1.0000	-1.0000	0.1111	0.1250	0.1250	-1.0000	-1.0000	0.1111	-1.0000	0.1250	0.1111	0.1250	0.1000	-1.0000	0.1667	0.2000	0.1000	-1.0000	0.1111	0.0909	0.1111	0.1250	0.1250	0.1111	0.1250	0.2000	0.1250	0.1429	-1.0000	0.1111	-1.0000	0.1111	0.1111	0.1250	0.1111	0.1111	0.1250	0.1111	0.1111	0.1111	0.1429	0.1250	0.1111	0.1111	-1.0000	-1.0000	0.1000	0.1250	0.1250	0.0909	0.1111	0.0909	0.1111	-1.0000	0.1250	0.1250	0.1111	0.1000	0.1250	0.1000	0.1000	0.1250	0.1111	0.1429	0.1250	-1.0000	
C0004153	-1.0000	0.1000	0.1000	0.1000	0.1111	-1.0000	0.0909	0.1111	-1.0000	-1.0000	0.0769	0.0833	0.1000	0.1000	0.0833	-1.0000	-1.0000	-1.0000	0.0833	-1.0000	0.1111	-1.0000	0.1111	0.1000	0.1000	1.0000	0.1111	0.1111	0.1000	0.1111	0.1111	0.1000	0.1000	0.0909	0.1000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	0.0909	-1.0000	-1.0000	0.1000	0.1111	0.1111	-1.0000	-1.0000	0.1667	-1.0000	0.2000	0.1000	0.1111	0.1429	-1.0000	0.0909	0.1000	0.0909	-1.0000	0.1000	0.0833	0.1000	0.1111	0.1111	0.1000	0.1111	0.1667	0.1111	0.1250	-1.0000	0.1000	-1.0000	0.1000	0.1000	0.2000	0.1000	0.1667	0.1111	0.1000	0.1000	0.1000	0.1000	0.1111	0.1000	0.1000	-1.0000	-1.0000	0.0909	0.1111	0.1111	0.0833	0.1250	0.0833	0.1000	-1.0000	0.1667	0.1667	0.1000	0.1429	0.1111	0.0909	0.0909	0.1111	0.1000	0.1250	0.1111	-1.0000	
C0019163	-1.0000	0.1250	0.1250	0.1250	0.1429	-1.0000	0.1111	0.2000	-1.0000	-1.0000	0.0909	0.1000	0.1250	0.1250	0.1000	-1.0000	-1.0000	-1.0000	0.1000	-1.0000	0.1429	-1.0000	0.1429	0.1250	0.1250	0.1111	1.0000	0.1429	0.1250	0.1429	0.1429	0.1250	0.1250	0.1111	0.1250	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	0.1111	-1.0000	-1.0000	0.1250	0.1429	0.1429	-1.0000	-1.0000	0.1250	-1.0000	0.1429	0.1250	0.1429	0.1111	-1.0000	0.1111	0.1250	0.1111	-1.0000	0.1250	0.1000	0.1250	0.1429	0.1429	0.1250	0.1429	0.1250	0.1429	0.1667	-1.0000	0.1250	-1.0000	0.1250	0.1250	0.1429	0.1250	0.1250	0.1429	0.1250	0.1250	0.1250	0.1250	0.1429	0.1250	0.1250	-1.0000	-1.0000	0.1111	0.1429	0.1429	0.1000	0.1250	0.1000	0.1250	-1.0000	0.1429	0.1429	0.1250	0.1111	0.1429	0.1111	0.1111	0.1429	0.1250	0.1667	0.1429	-1.0000	
C0002871	-1.0000	0.1250	0.1250	0.1250	0.1429	-1.0000	0.1111	0.1429	-1.0000	-1.0000	0.0909	0.1000	0.1250	0.1250	0.1000	-1.0000	-1.0000	-1.0000	0.1000	-1.0000	0.1429	-1.0000	0.1429	0.1250	0.1250	0.1111	0.1429	1.0000	0.1250	0.1429	0.1429	0.1250	0.1250	0.1111	0.1250	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	0.1111	-1.0000	-1.0000	0.2500	0.1429	0.1429	-1.0000	-1.0000	0.1250	-1.0000	0.1429	0.1250	0.1429	0.1111	-1.0000	0.2000	0.1429	0.1111	-1.0000	0.1250	0.1000	0.1250	0.1429	0.1429	0.1250	0.1429	0.2000	0.1429	0.1667	-1.0000	0.1250	-1.0000	0.1250	0.1250	0.1429	0.1250	0.1250	0.1429	0.1250	0.1250	0.1250	0.1250	0.1429	0.1250	0.1250	-1.0000	-1.0000	0.1111	0.1429	0.1429	0.1000	0.1250	0.1000	0.1250	-1.0000	0.1429	0.2000	0.1250	0.1111	0.1429	0.1111	0.1111	0.1429	0.1250	0.1667	0.1429	-1.0000	
C0026769	-1.0000	0.1111	0.1111	0.1429	0.1250	-1.0000	0.1000	0.1250	-1.0000	-1.0000	0.0833	0.0909	0.1111	0.1111	0.0909	-1.0000	-1.0000	-1.0000	0.0909	-1.0000	0.1250	-1.0000	0.1250	0.2000	0.1111	0.1000	0.1250	0.1250	1.0000	0.1250	0.2000	0.1111	0.1250	0.1000	0.1111	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	0.1000	-1.0000	-1.0000	0.1111	0.1250	0.1250	-1.0000	-1.0000	0.1111	-1.0000	0.2000	0.1111	0.2000	0.1000	-1.0000	0.1000	0.1111	0.1000	-1.0000	0.1111	0.1111	0.1111	0.2000	0.1250	0.1111	0.1250	0.1250	0.2000	0.1429	-1.0000	0.1111	-1.0000	0.1111	0.1667	0.1250	0.1111	0.1429	0.2000	0.1667	0.1111	0.1111	0.1111	0.1250	0.1111	0.1667	-1.0000	-1.0000	0.1000	0.2000	0.1250	0.0909	0.1111	0.0909	0.1111	-1.0000	0.1250	0.1250	0.1111	0.1000	0.1250	0.1000	0.1000	0.1667	0.1111	0.2000	0.1250	-1.0000	
C0004096	-1.0000	0.1250	0.1250	0.1250	0.1429	-1.0000	0.1111	0.1429	-1.0000	-1.0000	0.0909	0.1000	0.1250	0.1250	0.1000	-1.0000	-1.0000	-1.0000	0.1000	-1.0000	0.1429	-1.0000	0.1429	0.1250	0.1250	0.1111	0.1429	0.1429	0.1250	1.0000	0.1429	0.3333	0.2500	0.1111	0.1250	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	0.1111	-1.0000	-1.0000	0.1250	0.1429	0.1429	-1.0000	-1.0000	0.1250	-1.0000	0.1429	0.1250	0.1429	0.1111	-1.0000	0.1111	0.1250	0.1111	-1.0000	0.1250	0.1000	0.1250	0.1429	0.1429	0.1250	0.1429	0.1250	0.1429	0.1667	-1.0000	0.1250	-1.0000	0.1250	0.1250	0.1429	0.1250	0.1250	0.1429	0.1250	0.1250	0.1250	0.1250	0.1429	0.1250	0.1250	-1.0000	-1.0000	0.1111	0.1429	0.1429	0.1000	0.1250	0.1000	0.1250	-1.0000	0.1429	0.1429	0.1250	0.1111	0.1429	0.1111	0.1111	0.1429	0.2000	0.1667	0.1429	-1.0000	
C0017661	-1.0000	0.1250	0.1250	0.1250	0.1429	-1.0000	0.1111	0.1667	-1.0000	-1.0000	0.0909	0.1429	0.1250	0.1250	0.1000	-1.0000	-1.0000	-1.0000	0.3333	-1.0000	0.1429	-1.0000	0.1429	0.1250	0.1250	0.1111	0.1429	0.1429	0.2000	0.1429	1.0000	0.1250	0.1667	0.1111	0.1250	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	0.1667	-1.0000	-1.0000	0.1250	0.1429	0.1429	-1.0000	-1.0000	0.1250	-1.0000	0.1429	0.1250	0.3333	0.1111	-1.0000	0.1111	0.1429	0.1111	-1.0000	0.1250	0.1000	0.1250	0.3333	0.1429	0.1250	0.1429	0.1667	0.3333	0.1667	-1.0000	0.1250	-1.0000	0.1250	0.1250	0.1429	0.1250	0.1250	0.3333	0.1250	0.1250	0.1250	0.1250	0.1429	0.1250	0.1250	-1.0000	-1.0000	0.1111	0.3333	0.1429	0.1000	0.1250	0.1000	0.1250	-1.0000	0.1429	0.1429	0.1250	0.1111	0.1429	0.1111	0.1111	0.1429	0.1250	0.1667	0.1429	-1.0000	
C0024117	-1.0000	0.1111	0.1111	0.1111	0.1250	-1.0000	0.1000	0.1250	-1.0000	-1.0000	0.0833	0.0909	0.1111	0.1111	0.0909	-1.0000	-1.0000	-1.0000	0.0909	-1.0000	0.1250	-1.0000	0.1250	0.1111	0.1111	0.1000	0.1250	0.1250	0.1111	0.3333	0.1250	1.0000	0.1111	0.1000	0.1111	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	0.1000	-1.0000	-1.0000	0.1111	0.1250	0.1250	-1.0000	-1.0000	0.1111	-1.0000	0.1250	0.1111	0.1250	0.1000	-1.0000	0.1000	0.1111	0.1000	-1.0000	0.1111	0.0909	0.1111	0.1250	0.1250	0.1111	0.1250	0.1111	0.1250	0.1429	-1.0000	0.1111	-1.0000	0.1111	0.1111	0.1250	0.1111	0.1111	0.1250	0.1111	0.1111	0.1111	0.1111	0.1250	0.1111	0.1111	-1.0000	-1.0000	0.1000	0.1250	0.1250	0.0909	0.1111	0.0909	0.1111	-1.0000	0.1250	0.1250	0.1111	0.1000	0.1250	0.1000	0.1000	0.1250	0.2000	0.1429	0.1250	-1.0000	
C0011615	-1.0000	0.1111	0.1111	0.1111	0.2500	-1.0000	0.1000	0.1429	-1.0000	-1.0000	0.0833	0.0909	0.1111	0.1429	0.0909	-1.0000	-1.0000	-1.0000	0.0909	-1.0000	0.1250	-1.0000	0.1250	0.1111	0.1111	0.1000	0.1250	0.1250	0.1250	0.2500	0.1667	0.1111	1.0000	0.1000	0.1111	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	0.1000	-1.0000	-1.0000	0.1111	0.1250	0.1250	-1.0000	-1.0000	0.1111	-1.0000	0.1250	0.1111	0.1667	0.1000	-1.0000	0.1000	0.1250	0.1000	-1.0000	0.2000	0.0909	0.1667	0.1667	0.1429	0.1250	0.1250	0.1429	0.1667	0.1429	-1.0000	0.1111	-1.0000	0.1111	0.1111	0.1250	0.1111	0.1111	0.1667	0.2000	0.1111	0.1667	0.1111	0.1250	0.1111	0.1111	-1.0000	-1.0000	0.1667	0.1667	0.1250	0.0909	0.1111	0.0909	0.1429	-1.0000	0.2500	0.2000	0.1111	0.1000	0.1250	0.1000	0.1000	0.1250	0.1111	0.1429	0.1250	-1.0000	
C0005586	-1.0000	0.1000	0.1000	0.1000	0.1111	-1.0000	0.2000	0.1111	-1.0000	-1.0000	0.0769	0.0833	0.1000	0.1000	0.0833	-1.0000	-1.0000	-1.0000	0.0833	-1.0000	0.1111	-1.0000	0.1111	0.1000	0.1000	0.0909	0.1111	0.1111	0.1000	0.1111	0.1111	0.1000	0.1000	1.0000	0.2500	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	0.0909	-1.0000	-1.0000	0.1000	0.1111	0.1111	-1.0000	-1.0000	0.1000	-1.0000	0.1111	0.1000	0.1111	0.0909	-1.0000	0.0909	0.1000	0.0909	-1.0000	0.1000	0.1250	0.1000	0.1111	0.1111	0.1000	0.1111	0.1000	0.1111	0.1250	-1.0000	0.1000	-1.0000	0.1000	0.1667	0.1111	0.1000	0.1000	0.1111	0.1667	0.1000	0.1000	0.1000	0.1111	0.1000	0.1667	-1.0000	-1.0000	0.0909	0.1111	0.1111	0.1667	0.1000	0.1667	0.1000	-1.0000	0.1111	0.1111	0.1000	0.0909	0.1111	0.0909	0.0909	0.1111	0.1000	0.1667	0.1111	-1.0000	
C0525045	-1.0000	0.1111	0.1111	0.1111	0.1250	-1.0000	0.2500	0.1250	-1.0000	-1.0000	0.0833	0.0909	0.1111	0.1111	0.0909	-1.0000	-1.0000	-1.0000	0.0909	-1.0000	0.1250	-1.0000	0.1250	0.1111	0.1111	0.1000	0.1250	0.1250	0.1111	0.1250	0.1250	0.1111	0.1111	0.2500	1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	0.1000	-1.0000	-1.0000	0.1111	0.1250	0.1250	-1.0000	-1.0000	0.1111	-1.0000	0.1250	0.1111	0.1250	0.1000	-1.0000	0.1000	0.1111	0.1000	-1.0000	0.1111	0.1429	0.1111	0.1250	0.1250	0.1111	0.1250	0.1111	0.1250	0.1429	-1.0000	0.1111	-1.0000	0.1111	0.2000	0.1250	0.1111	0.1111	0.1250	0.2000	0.1111	0.1111	0.1111	0.1250	0.1111	0.2000	-1.0000	-1.0000	0.1000	0.1250	0.1250	0.2000	0.1111	0.2000	0.1111	-1.0000	0.1250	0.1250	0.1111	0.1000	0.1250	0.1000	0.1000	0.1250	0.1111	0.2000	0.1250	-1.0000	
C0010054	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	
C0678222	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	
C0684249	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	
C0549473	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	
C0677886	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	
C0699885	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	
C0007134	-1.0000	0.1000	0.1429	0.1000	0.1111	-1.0000	0.0909	0.1111	-1.0000	-1.0000	0.1250	0.1667	0.1000	0.1000	0.0833	-1.0000	-1.0000	-1.0000	0.1667	-1.0000	0.1111	-1.0000	0.1111	0.1000	0.1429	0.0909	0.1111	0.1111	0.1000	0.1111	0.1667	0.1000	0.1000	0.0909	0.1000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	1.0000	-1.0000	-1.0000	0.1000	0.1111	0.1111	-1.0000	-1.0000	0.1000	-1.0000	0.1111	0.1000	0.1111	0.0909	-1.0000	0.1250	0.1429	0.0909	-1.0000	0.1000	0.0833	0.1000	0.1111	0.1111	0.1000	0.1111	0.1429	0.1111	0.1250	-1.0000	0.1000	-1.0000	0.1000	0.1000	0.1111	0.1000	0.1000	0.1667	0.1000	0.1000	0.1000	0.1111	0.1250	0.1000	0.1000	-1.0000	-1.0000	0.0909	0.1111	0.1111	0.0833	0.1000	0.0833	0.1000	-1.0000	0.1111	0.1111	0.1000	0.0909	0.1111	0.1111	0.0909	0.1111	0.1000	0.1250	0.1250	-1.0000	
C0002103	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000	
